                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.56606,                 1.2513,                0.96864,                 1.0783,                 0.7987,                0.72683,                0.81012,                0.68461,                0.80311,                0.72715,                0.80277,                0.67457,                  0.635,                 1.3522,                0.96957,                 1.1788,              0.0005939,              0.0005939,              0.0005939
                     25,                0.56103,                 1.2527,                0.95227,                 1.0749,                0.82377,                0.68575,                0.80542,                0.67271,                0.83209,                0.68184,                0.79779,                0.67627,                0.64799,                 1.3771,                 1.0424,                 1.1747,             0.00058629,             0.00058629,             0.00058629
                     26,                0.54995,                 1.2662,                0.95229,                  1.071,                0.80119,                0.68849,                0.79169,                 0.6633,                0.80626,                0.68363,                0.78489,                0.66179,                0.66962,                 1.4231,                 1.0359,                 1.2031,             0.00057867,             0.00057867,             0.00057867
                     27,                0.54253,                 1.2029,                0.91969,                 1.0586,                0.79621,                0.72452,                0.81077,                0.67951,                0.80072,                0.71601,                0.80486,                0.67299,                0.66438,                 1.4409,                0.97293,                 1.1998,             0.00057106,             0.00057106,             0.00057106
                     28,                0.53944,                 1.1893,                0.90816,                 1.0598,                0.76557,                0.71664,                0.77581,                0.63611,                0.76614,                0.71557,                0.77318,                0.63019,                 0.6866,                 1.3744,                 1.0282,                 1.2064,             0.00056345,             0.00056345,             0.00056345
                     29,                0.53464,                 1.2032,                0.90094,                 1.0561,                0.79343,                 0.7279,                0.78623,                0.65807,                0.79098,                 0.7265,                0.77513,                0.65577,                0.66343,                 1.3605,                0.96198,                 1.1954,             0.00055583,             0.00055583,             0.00055583
                     30,                0.53687,                 1.2027,                0.89542,                 1.0606,                0.82249,                0.73209,                0.80869,                0.67674,                0.82547,                0.72518,                0.79856,                0.67973,                0.67293,                 1.3796,                 1.0036,                 1.2223,             0.00054822,             0.00054822,             0.00054822
                     31,                0.52902,                 1.1905,                0.86736,                 1.0553,                 0.7993,                0.72777,                0.79047,                0.65647,                0.79325,                 0.7281,                0.78228,                0.65128,                0.65208,                 1.4334,                0.96038,                 1.1836,             0.00054061,             0.00054061,             0.00054061
                     32,                0.52231,                 1.1614,                0.85795,                 1.0466,                0.81792,                0.76169,                 0.8365,                 0.7152,                0.81707,                0.75636,                 0.8246,                0.70109,                0.62383,                  1.359,                0.88309,                 1.1537,             0.00053299,             0.00053299,             0.00053299
                     33,                0.54049,                 1.1583,                0.84914,                 1.0593,                0.75786,                0.74165,                0.80238,                0.67315,                0.75162,                0.73664,                0.79313,                0.67456,                0.64991,                 1.3278,                0.96269,                 1.1738,             0.00052538,             0.00052538,             0.00052538
